NINT;poids;DATE_CONTACT;mois;jour;quest_debut;quest_fin;SEXE;AG99;AGE_REP;ANNEE_REP;eqtv;Recept_ADSL;Recept_Para;Recept_elargie;Recept_tradi;abcp;abon_adsl;abon_elargie;habtv1;habtv2;habtv3;habtv4;habtv5;habtv6;habtv7;habtv8;habtv9;habtv10;init1;init2;init3;init4;init5;init6;init7;init8;init9;init10
154;6,22;06/04/2014;4;6;14:45:02;15:05:22;2;25;3;1989;1;0;0;0;1;2;2;0;1;4;5;4;4;4;5;4;4;4;1;2;2;2;2;2;2;2;1;1
156;8,21;06/04/2014;4;6;15:06:08;15:26:18;2;62;5;1952;1;0;0;0;1;2;2;0;1;5;5;5;5;5;5;5;3;4;1;2;2;2;2;2;2;2;1;1
157;0,71;06/04/2014;4;6;15:21:26;15:36:14;1;15;1;1999;1;0;1;1;0;2;2;1;2;1;5;1;2;1;5;5;5;1;1;1;2;1;1;1;1;1;2;1
158;0,5;06/04/2014;4;6;15:24:16;15:43:25;2;23;2;1991;0;0;0;0;0;2;2;0;4;4;1;1;2;4;1;3;3;2;;;;;;;;;;
159;5,09;06/04/2014;4;6;15:50:39;16:14:04;1;19;1;1995;1;0;1;1;0;2;2;1;1;5;3;3;3;3;5;5;5;5;1;1;1;1;1;1;1;2;2;1
161;4,37;06/04/2014;4;6;15:58:27;16:23:55;1;16;1;1998;1;0;0;1;0;1;1;1;1;1;1;1;4;2;1;4;1;2;1;1;1;1;1;1;2;1;1;1
162;0,62;06/04/2014;4;6;16:26:59;16:45:45;2;16;1;1998;1;0;1;1;0;2;2;1;1;3;5;3;3;1;4;3;1;4;1;1;2;1;2;1;2;2;1;2
163;4,87;06/04/2014;4;6;16:28:35;16:46:58;1;21;2;1993;1;0;0;1;0;2;2;1;2;3;1;5;3;3;1;5;2;5;1;1;1;1;1;1;1;1;1;1
165;0,5;06/04/2014;4;6;16:50:16;16:58:43;2;29;3;1985;0;0;0;0;0;2;2;0;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;
166;0,8;06/04/2014;4;6;16:35:50;17:02:34;1;18;1;1996;0;0;0;0;0;2;2;0;1;5;1;5;3;3;3;1;1;5;;;;;;;;;;
167;6,48;06/04/2014;4;6;16:07:40;17:03:03;1;51;5;1963;1;0;1;1;0;2;1;1;1;4;4;3;4;4;5;5;5;3;1;1;1;1;1;1;2;2;2;1
168;0,63;06/04/2014;4;6;16:59:56;17:23:41;2;47;4;1967;1;0;1;1;0;2;1;1;1;4;3;4;4;3;5;4;4;4;1;1;2;1;1;1;1;1;1;1
169;6,37;07/04/2014;4;7;14:21:20;14:39:59;2;38;4;1976;1;0;1;1;0;2;2;1;1;1;5;5;5;5;5;5;5;5;1;1;2;2;1;1;1;2;2;1
